id,rating,pop,desc,director,writer,star
1353,6.3|640,,"Sarah, 30, single, well educated, likes art, places a voice ad for phone sex, inviting replies from men under 35, sturdy and sensual. Wilbert, a chubby middle aged architect, leaves a message that he is Thomas, 32 and well formed. A week later, she phones. She likes his voice, he likes her laugh, so once a week she phones him (he's not to know her last name, where she...",Theo van Gogh,Johan Doesburg|Marcel Otten|Ariane Schluter,Ariane Schluter|Ad van Kempen
1354,6.4|263,,"Dean is a maverick American film director surprised that his most recent film has been chosen as the Official U.S. Entry at the Venice Film Festival. A beautiful French journalist arrives at the festival with the apparent intention of interviewing the unique and eccentric filmmaker. In the midst of all the festival madness, she is forced to confront the wide divergenc...",Henry Jaglom,Henry Jaglom,Nelly Alard|Henry Jaglom|Melissa Leo
1355,6.1|1.9K,,Story of the early life of genius and Nobel Prize-winning physicist Richard Feynman.,Matthew Broderick,Richard Feynman|Ralph Leighton|Patricia Broderick,Matthew Broderick|Patricia Arquette|Jeffrey Force
1356,6.3|467,,"Ed lives in Wisconsin, but he's just been dumped by his girlfriend. So he moves to New York City for a big change...but will he ever find love again? He loves his new job studying the genetics of different strains of rice. He has a good partnership with his promiscuous roommate Ray. And he's made some great friends, characters at the local diner. But then there's Nata...",John Walsh,John Walsh,Matt Ross|Catherine Curtin|Timothy Pilato
1357,6.0|969,,"The story of airmen training in rural Manitoba in the summer of 1942 to go overseas and become bomber pilots in World War II, as well as the romantic entanglements which overcome them while they contemplate life and love in a world at war.",Aaron Kim Johnston,Aaron Kim Johnston,Russell Crowe|Christianne Hirt|Wanda Cannon
1358,7.7|74,,"After being shot while on a stakeout, Mac witnesses a murder in the hospital while partially under sedation while awaiting surgery. Everyone thinks Mac's story is a hallucination, but he's convinced one of the doctors murdered a patient.",James Sheldon,Leonard Stern|Richard Danus,Rock Hudson|Susan Saint James|John Schuck
1359,,,,,,
1360,5.8|628,,"A semi-autobiography of the first 28 years of the director, the Flemish anarchist Jan Bucquoy.",Jan Bucquoy,Jan Bucquoy,Jean-Henri Compère|Noe Francq|Isabelle Legros
1361,6.0|1.8K,,Les is making a film about his old neighborhood in Brooklyn. One-eye Jimmy goes missing and Les switches to making a film about Jimmy and the people searching.,Sam Henry Kass,Sam Henry Kass,Holt McCallany|Michael Badalucco|Nicholas Turturro
1362,5.2|699,,"The film is three stories about one story, featuring an exciting and quirky cast of characters living on the edge.",Michael Covert,Michael Covert,Scott Plank|Melora Walters|John Savage
1363,7.3|169,,"Follows the coming of age of a young leopard on the Serengeti Plain, filmed over three years by Dutch naturalist Hugo Van Lawick.",Hugo Van Lawick,Michael Olmert,John Gielgud
1364,4.5|220,,"As a boy, Dominik watched an American crime boss murder his father, a police officer fighting corruption in Sofia, Bulgaria. Years later, he attempts to avenge his father's death but is imprisoned for 15 years for attempted murder. In prison, he meets an American photo-journalist who shares his enemy and his thoughts of revenge. Released from prison, the two hatch a p...",Temístocles López,Boyan Milushev|James J. Mellon|Tracy Adams,Lenny von Dohlen|Boyan Milushev|Jennifer Tilly
1365,6.6|632,,A young low-class student gets involved with the wrong people and takes part in a non successful video rental robbery.,Gustavo Graef Marino,Gerardo Cáceres|Gustavo Graef Marino,Armando Araiza|Patricia Rivera|Willy Semler
1366,7.1|764,,"Director Jean-Luc Godard reflects in this movie about his place in film history, the interaction of film industry and film as art, as well as the act of creating art.",Jean-Luc Godard,Jean-Luc Godard,Jean-Luc Godard|Geneviève Pasquier|Denis Jadót
1367,7.4|4.1K,,An ordinary man is lured into a strange puppet theatre by a map and finds himself embroiled in a production of the Faustian legend.,Jan Svankmajer,Christian Dietrich Grabbe|Christopher Marlowe|Jan Svankmajer,Petr Cepek|Jan Kraus|Vladimír Kudla
1368,7.1|1K,,The film tells the story of two girls who are of totally different character. They know each other since their childhood and were friends until they became teenagers. But growing up and becoming adults they go different ways.,Martine Dugowson,Martine Dugowson,Romane Bohringer|Elsa Zylberstein|Florence Thomassin
1369,,,,,,
1370,,,,,,
1371,4.3|322,,"Harlin Garret loses his memory and finds himself closed in a facility claimed to belong to the state security services. The manager of this place tells Garrett he used to be a killer for the mob but Garrett refuses to believe. Then he is forced to kill people that are a ""Risk to the state security"", but the whole story gets complicated when Garret falls in love with o...",David Mitchell,Damian Lee|David Mitchell,Jeff Wincott|Michael Ironside|Terri Hawkes
1372,6.1|35,,"The Stranger (Colin Baker) arrives on Earth with no memory of who he is or why he's there. However, two men on a secret mission seem to know his identity and the owner of a local bar/club seems to be hiding a secret in an upstairs room. Unsure of whom to trust or even believe, The Stranger must try and unravel the threads of his mysterious past...a past he may not wan...",Bill Baggs,Nicholas Briggs,Colin Baker|Louise Jameson|David Troughton
1373,6.3|23,,"A man wakes up hoping to have a good day, but reality keeps getting in the way.",Ken Greenwald,Denny Evans|Ken Greenwald,Roger Carroll|Vern Rowe
1374,5.0|417,,"While struggling with his midlife crisis, Harry receives an invitation for his high school's reunion back so he takes Sue and their teenage kids on a cross-country car trip back to the Big Apple.",Steven Paul,Steven Paul|Ted Allan|Susannah York,Elliott Gould|Susannah York|Michelle Pfeiffer
1375,7.0|5K,,"Four children live with their terminally ill mother. After she dies, they try to hold things together. In their isolated house, they begin to deteriorate mentally, whilst they hide their mom's decomposing corpse in a makeshift concrete sarcophagus.",Andrew Birkin,Andrew Birkin|Ian McEwan,Charlotte Gainsbourg|Andrew Robertson|Alice Coulthard
1376,5.2|3.7K,,"Wally Sparks is a tabloid television show reporter, who's trying to boost ratings on his show. He goes to the Governor's mansion to uncover a sex scandal.",Peter Baldwin,Harry Basil|Rodney Dangerfield,Rodney Dangerfield|Debi Mazar|David Ogden Stiers
1377,6.0|662,,Twin brothers meet a childhood sweetheart at a tacky hotel and rediscover their love as they renew their competition for her affection.,Craig Rosenberg,Craig Rosenberg,Aden Young|Saffron Burrows|Simon Bossell
1378,,,,,,
1379,6.5|2K,,A day in the life of two film-school students trying to find love and another house-mate.,Emma-Kate Croghan,Yael Bergman|Emma-Kate Croghan|Helen Bandis,Frances O'Connor|Alice Garner|Matt Day
1380,7.2|1.1K,,"Following the break-up of his marriage after revealing his homosexuality, GP Martin Wyatt loses custody of his son Oliver to his now ex-wife Hannah and her new partner Frank. It is not long, however, until Oliver appears at the house of Martin and his new lover Tom claiming to have been beaten up by boys in the park. After another incident, Martin puts two and two tog...",Angela Pope,Neville Bolt|Paula Milne,Sam Bould|Martin Donovan|Ian Hart
1381,6.5|881,,"Chase Phillips (Dame Helen Mirren), a lifetime resident of Martha's Vineyard, married Richard (Beau Bridges), and like the area, grew into the upper middle class. Her distaste for artificiality leads her to a wild breakdown, and Richard dutifully tries to restore their family unit as best he knows how by hiring a ""Mother's Helper"", Elizabeth (Kyra Sedgwick). Chase is ...",Kevin Bacon,Anne Meredith,Helen Mirren|Kyra Sedgwick|Beau Bridges
1382,7.6|8.3K,,"François, a young carpenter, lives a happy, uncomplicated life with his wife Thérèse and their two small children. One day he meets Emilie, a clerk in the local post office.",Agnès Varda,Agnès Varda,Jean-Claude Drouot|Marie-France Boyer|Marcelle Faure-Bertin
1383,4.5|1.1K,,"The story of Mowgli, a young boy abandoned in the wilds of India. Raised by a panther, an elephant and a bear, Mowgli must learn civilization's ways when his long-lost uncle and a circus scout from Barnum and Bailey come looking for him.",Dee McLachlan,Matthew Horton|Bayard Johnson|Rudyard Kipling,Jamie Williams|Billy Campbell|Roddy McDowall
1384,5.0|325,,"Benny, a lonely drifter, is thrown off a train after cheating at cards, and into the life of Tanya, a lovely bartender. Tanya has been supporting her husband, a former ballplayer, since his accident, waiting for an insurance settlement that will solve all their financial woes. But when it comes, he refuses to share it with her, claiming with newfound piety that money ...",Marcus DeLeon,Marcus DeLeon,Lara Flynn Boyle|Danny Nucci|Peter Dobson
1385,7.1|3.5K,,"Roseanna is dying of a heart condition, and all she wants is to be buried next to her daughter, in a cemetery that is getting full fast. The cemetery can't expand because Capestro, the man who owns the land next to the cemetery, won't sell. While Marcello is doing good deeds to make sure no one dies, Roseanna thinks of Marcello's future.",Paul Weiland,Saul Turteltaub,Jean Reno|Mercedes Ruehl|Polly Walker
1386,6.4|4.8K,,"When metal-worshipping fanatics abduct his son, a father unleashes his dormant destructive power, as his naked rage transforms the once-feeble flesh into a grisly symbiosis of metal and tissue. Who dares to defy the ultimate body-hammer?",Shin'ya Tsukamoto,Shin'ya Tsukamoto,Tomorô Taguchi|Shin'ya Tsukamoto|Nobu Kanaoka
1387,5.9|2K,,Cab driver Michael and supermodel Sarah fall in love while her gorgeous husband Phillippe is in Madrid for two months.,Eric Schaeffer,Eric Schaeffer,Eric Schaeffer|Amanda De Cadenet|Rudolf Martin
1388,6.9|3.5K,,When an old couple washes their gabbeh - a type of Persian rug - a young woman magically appears and tells them her life story.,Mohsen Makhmalbaf,Mohsen Makhmalbaf,Shaghayeh Djodat|Hossein Moharami|Rogheih Moharami
1389,7.0|3.8K,,"In 1933 Texas, a schoolteacher and aspiring writer meets a pulp fiction writer, and a relationship soon develops between the two, but it is doomed by his slavishly devotion to his ailing mother and insistence on his freedom.",Dan Ireland,Novalyne Price Ellis|Michael Scott Myers,Vincent D'Onofrio|Renée Zellweger|Ann Wedgeworth
1390,5.4|364,,"The young, bright, and decent London tramp Alan Terry (Rupert Graves) accidentally witnesses a mob execution. He gets away, but leaves enough evidence for them to come looking for him amongst the homeless, and most violently: his older best friend is killed by arson. It turns out that Matheson (Sir Michael Gambon), the police Detective Inspector in charge of the murde...",Scott Michell,Ray Villis,Oliver Cotton|Tony Bluto|Paul Brightwell
1391,6.1|1.1K,,"Jean-Luc Godard's densely packed rumination on the need to create order and beauty in a world ruled by chaos is divided into four distinct but tangentially related stories, including the attempts by a young group of idealists to stage a play in war-torn Sarajevo and an elderly director's efforts to complete his film.",Jean-Luc Godard,Jean-Luc Godard,Madeleine Assas|Ghalya Lacroix|Bérangère Allaux
1392,6.1|2K,,"A drifter enters a small town looking for employment. While working at the local cattle ranch, he meets and falls in love with the beautiful Kitty and becomes involved in a deadly yet erotic love triangle.",John Patrick Kelley,John Patrick Kelley,Kate Capshaw|Jeremy Davies|Vince Vaughn
1393,5.6|1.1K,,"A group of men are having a bachelor party. But when misfortune befalls one of the strippers at the stag, a convoluted scheme is hatched by the party-goers to avoid blame.",Gavin Wilding,Pat Bermel|Jason Schombing|Evan Tylor,John Stockwell|Mario Van Peebles|Jerry Stiller
1394,6.7|3.5K,,"The story of Russian emigrant Yanko Goorall and servant Amy Foster in the end of nineteenth century. When Yanko enters a farm, sick and hungry after a shipwreck, everyone is afraid of him, except for Amy.",Beeban Kidron,Joseph Conrad|Tim Willocks,Rachel Weisz|Vincent Perez|Ian McKellen
1395,6.3|1.3K,,A teenage petty criminal dreams of escaping his increasingly unlawful lifestyle when he meets a sweet girl who hopes to one day travel to Alaska.,Morgan J. Freeman,Morgan J. Freeman,Brendan Sexton III|Shawn Elliott|Antoine McLean
1396,7.1|1.7K,,A group of homosexual people try to live with dignity and self-respect while events build to the opening battle in the major gay rights movement.,Nigel Finch,Rikki Beadle Blair|Martin Duberman,Guillermo Diaz|Frederick Weller|Brendan Corbalis
1397,7.0|7.8K,,A young man finds himself attracted to a cold and unfeeling waitress who may ultimately destroy them both.,John Cromwell,Lester Cohen|W. Somerset Maugham|Ann Coleman,Bette Davis|Leslie Howard|Frances Dee
1398,6.1|174,,"Anna, a woman living in Paris, whose dreams of her Venetian counterpart, a secretive young woman who lives in a fine palace with her brother and an enigmatic older man, become frighteningly real.",Eric Rochant,Gérard Brach|Eric Rochant,Charlotte Gainsbourg|Gérard Lanvin|Sami Bouajila
